Player,2019-20
A.J. Hammons,350087
Aaron Gordon,19863636
Aaron Holiday,2239200
Abdel Nader,1618520
Admiral Schofield,898310
Al Horford,28000000
Alec Burks,2320044
Alen Smailagić,898310
Alex Caruso,2750000
Alex Len,4160000
Al-Farouq Aminu,9258000
Alfonzo McKinnie,1361046
Alize Johnson,1416852
Allen Crabbe,17818456
Allonzo Trier,3551100
Amile Jefferson,1445697
Anderson Varejão,1913345
Andre Drummond,27093019
Andre Iguodala,17185185
Andre Roberson,10740741
Andrew Nicholson,2844429
Andrew Wiggins,27504630
Anfernee Simons,2149560
Ante Žižić,2281800
Anthony Davis,27093019
Anthony Tolliver,2419852
Anžejs Pasečņiks,482144
Aron Baynes,5453280
Austin Rivers,2174318
Avery Bradley,4767000
Bam Adebayo,3454080
Ben McLemore,2028594
Ben Simmons,8113930
Bismack Biyombo,17000000
Blake Griffin,34234964
Boban Marjanović,3500000
Bobby Portis,15000000
Bogdan Bogdanović,8529386
Bojan Bogdanović,17000000
Brad Wanamaker,1445697
Bradley Beal,27093019
Brandon Clarke,2478840
Brandon Goodwin,522738
Brandon Ingram,7265485
Brandon Knight,15643750
Brook Lopez,12093024
Bruce Brown,1416852
Bruno Caboclo,1845301
Bruno Fernando,1400000
Bryn Forbes,2875000
Buddy Hield,4861208
C.J. Miles,8730158
C.J. Watson,333333
Caleb Martin,898310
Caleb Swanigan,2033160
Cam Reddish,4245720
Cameron Johnson,4033440
Cameron Payne,196288
Caris LeVert,2625718
Carmelo Anthony,2159029
Carsen Edwards,1228026
Cedi Osman,2907143
Chandler Hutchison,2332320
Chandler Parsons,25102511
Chasson Randle,91557
Cheick Diallo,1678854
Chimezie Metu,1416852
Chris Boucher,1588231
Chris Clemons,568422
Chris Paul,38506482
Chris Silva,466918
Christian Wood,1645357
CJ McCollum,27556959
Clint Capela,16456522
Coby White,5307120
Cody Martin,1173310
Cody Zeller,14471910
Cole Aldrich,685340
Collin Sexton,4764960
Corey Brewer,289803
Cory Joseph,12000000
Courtney Lee,12759670
Cristiano Felício,8156500
D.J. Augustin,7250000
D.J. Wilson,2961120
Dakari Johnson,459414
Damian Jones,2305057
Damian Lillard,29802321
Damion Lee,842327
Damyean Dotson,1618520
D'Angelo Russell,27285000
Daniel Gafford,898310
Daniel Theis,5000000
Danilo Gallinari,22615559
Danny Green,14634146
Dante Exum,9600000
Danuel House,3540000
Dario Šarić,3481986
Darius Bazley,2284800
Darius Garland,6400920
Darius Miller,7250000
David Nwaba,1678854
Dāvis Bertāns,7000000
De'Aaron Fox,6392760
Dean Wade,375000
Deandre Ayton,9562920
DeAndre' Bembry,2603982
De'Andre Hunter,7068360
DeAndre Jordan,9881598
De'Anthony Melton,1416852
Dejounte Murray,2321735
Delon Wright,9473684
DeMar DeRozan,27739975
DeMarcus Cousins,3500000
DeMarre Carroll,6842307
Demetrius Jackson,92857
Dennis Schröder,15500000
Dennis Smith,4463640
Denzel Valentine,3377569
Deonte Burton,1416852
Deron Williams,5474787
Derrick Favors,17650000
Derrick Jones Jr.,1645357
Derrick Rose,7317073
Derrick Walton,1445697
Derrick White,1948080
Devin Booker,27250000
Devonte' Graham,1416852
Dewan Hernandez,898310
Dewayne Dedmon,13333334
Dillon Brooks,1618520
Dion Waiters,12100000
Domantas Sabonis,3529555
Donovan Mitchell,3635760
Donta Hall,101504
Donte DiVincenzo,2905800
Dorian Finney-Smith,4000000
Doug McDermott,7333334
Dragan Bender,1678854
Draymond Green,18539130
Duncan Robinson,1416852
Dusty Hannahs,81678
Dwayne Bacon,1618520
Dwight Howard,3039097
Dwight Powell,10259375
Dylan Windler,2035800
Džanan Musa,1911600
Ed Davis,4767000
Edmond Sumner,2000000
Elfrid Payton,8000000
Elie Okobo,1416852
Emmanuel Mudiay,1737145
Enes Kanter,4767000
Eric Bledsoe,15625000
Eric Gordon,14057730
Eric Mika,50752
Eric Paschall,898310
Ersan İlyasova,7000000
E'Twaun Moore,8664928
Evan Fournier,17000000
Evan Turner,18606557
Festus Ezeli,333333
Frank Jackson,1618520
Frank Kaminsky,4767000
Frank Ntilikina,4855800
Fred VanVleet,9000000
Furkan Korkmaz,1620564
Garrett Temple,4767000
Gary Clark,708426
Gary Harris,17839286
Gary Payton II,1090781
Gary Trent Jr.,1416852
George Hill,9133907
Georges Niang,1678854
Gerald Green,2564753
Giannis Antetokounmpo,25842697
Glenn Robinson III,1882867
Goga Bitadze,2816760
Goran Dragić,19217900
Gordon Hayward,32700690
Gorgui Dieng,16229213
Grant Williams,2379840
Grayson Allen,2429400
Guerschon Yabusele,3117240
Hamidou Diallo,1416852
Harrison Barnes,24147727
Harry Giles,2578800
Hassan Whiteside,27093018
Hollis Thompson,50000
Ian Mahinmi,15450051
Ignas Brazdeikis,898310
Iman Shumpert,419443
Isaac Bonga,1416852
Isaiah Hartenstein,1416852
Isaiah Roby,1500000
Isaiah Taylor,50000
Isaiah Thomas,2320044
Ish Smith,5853659
Ivan Rabb,371758
Ivica Zubac,6481482
J.J. Barea,2564753
J.J. Redick,13486300
J.P. Macura,81678
J.R. Smith,1456667
Ja Morant,8730240
Jabari Parker,6500000
Jacob Evans,1925880
Jae Crowder,7815533
Jahlil Okafor,1702486
JaKarr Sampson,1737145
Jake Layman,3581986
Jakob Poeltl,3754886
Jalen Brunson,1416582
Jalen Lecque,898310
Jalen McDaniels,898310
Jamal Crawford,289803
Jamal Murray,4444746
James Ennis,1882867
James Harden,37800000
James Johnson,15349400
JaMychal Green,4767000
Jared Dudley,2564753
Jaren Jackson Jr.,6927480
Jarred Vanderbilt,1416852
Jarrett Allen,2376840
Jarrett Culver,5813640
Jarrod Uthoff,81678
JaVale McGee,4000000
Javonte Green,898310
Jaxson Hayes,4862040
Jaylen Adams,163356
Jaylen Brown,6534829
Jaylen Nowell,1400000
Jayson Tatum,7830000
Jeff Green,2564753
Jeff Teague,19000000
Jemerrio Jones,199000
Jerami Grant,9346153
Jeremy Lamb,10500000
Jeremy Pargo,91557
Jerian Grant,196288
Jerome Robinson,3567720
Jevon Carter,1416852
Jimmy Butler,32742000
Joakim Noah,6431666
Joe Chealey,163356
Joe Harris,7670000
Joe Ingles,11954546
Joe Johnson,220000
Joel Embiid,27504630
John Collins,2686560
John Henson,9732396
John Wall,37800000
Johnathan Williams,106181
Jon Leuer,3169348
Jonah Bolden,1698450
Jonas Valančiūnas,16000000
Jonathan Isaac,5806440
Jonathon Simmons,1000000
Jontay Porter,197933
Jordan Bell,1620564
Jordan Clarkson,13437500
Jordan McRae,1645357
Jordan Poole,1964760
Josh Hart,1934160
Josh Jackson,7059480
Josh Magette,81678
Josh Okogie,2530680
Josh Richardson,10100000
Josh Smith,5331729
Jrue Holiday,26131111
Juan Hernangómez,3321030
Juan Toscano-Anderson,350189
Julius Randle,18000000
Justin Anderson,98144
Justin Hamilton,1000000
Justin Holiday,4767000
Justin Jackson,3280920
Justin James,898310
Justin Patton,1620564
Justin Robinson,395866
Justise Winslow,13000000
Jusuf Nurkić,12000000
Juwan Morgan,746054
Karl-Anthony Towns,27250000
Kawhi Leonard,32742000
Keita Bates-Diop,1416852
Keldon Johnson,1950600
Kelly Olynyk,11667885
Kelly Oubre Jr.,15625000
Kemba Walker,32742000
Kendrick Nunn,1416852
Kenrich Williams,1416852
Kent Bazemore,19269662
Kentavious Caldwell-Pope,8089282
Kevin Durant,37199000
Kevin Huerter,2636280
Kevin Knox,4380120
Kevin Love,28900000
Kevin Porter Jr.,1290960
Kevon Looney,4464286
Khem Birch,3000000
Khris Middleton,30603448
Khyri Thomas,838464
Klay Thompson,32742000
Kris Dunn,5348007
Kristaps Porziņģis,27285000
Ky Bowman,350189
Kyle Anderson,9073050
Kyle Korver,3440000
Kyle Kuzma,1974600
Kyle Lowry,33296296
Kyle O'Quinn,2028594
Kyle Singler,999200
Kyrie Irving,31742000
KZ Okpala,898310
LaMarcus Aldridge,26000000
Landry Shamet,1995120
Langston Galloway,7333333
Larry Nance Jr.,12727273
Larry Sanders,1865547
Lauri Markkanen,5300400
LeBron James,37436858
Lonnie Walker,2760480
Lonzo Ball,8719320
Lou Williams,8000000
Luguentz Dort,155647
Luka Dončić,7683360
Luka Šamanić,2689920
Luke Kennard,3827160
Luke Kornet,2195122
Luol Deng,4990000
Malcolm Brogdon,20000000
Malcolm Miller,1588231
Malik Beasley,2731714
Malik Monk,4028400
Malik Newman,50752
Marc Gasol,25595700
Marco Belinelli,5846154
Marcus Morris,15000000
Marcus Smart,12553471
Mario Hezonja,1737145
Markelle Fultz,9745200
Markieff Morris,2241808
Marko Guduric,2625000
Marques Bolden,50752
Marquese Chriss,758804
Marvin Bagley III,8556120
Marvin Williams,15006250
Mason Plumlee,14041096
Matisse Thybulle,2582160
Matt Barnes,2133541
Matt Thomas,898310
Matthew Dellavedova,9607500
Maurice Harkless,11511234
Max Strus,415414
Maxi Kleber,8000000
Melvin Frazier,1416852
Meyers Leonard,11286515
Mfiondu Kabengele,1977000
Michael Beasley,289803
Michael Carter-Williams,2028594
Michael Kidd-Gilchrist,13000000
Michael Porter Jr.,3389400
Mikal Bridges,4161000
Mike Conley,32511623
Mike Muscala,2028594
Mike Scott,4767000
Miles Bridges,3755400
Miles Plumlee,12500000
Mirza Teletović,3500000
Mitchell Robinson,1559712
