Player,Date,City,State
Eric Bledsoe,Dec 9 1989,Birmingham,Alabama
DeMarre Carroll,Jul 27 1986,Birmingham,Alabama
JaMychal Green,Jun 21 1990,Montgomery,Alabama
Donta Hall,Aug 7 1997,Luverne,Alabama
Josh Magette,Nov 28 1989,Birmingham,Alabama
Marvin Bagley,Mar 14 1999,Tempe,Arizona
Zylan Cheatham,Nov 17 1995,Phoenix,Arizona
Kevin Knox,Aug 11 1999,Phoenix,Arizona
Matisse Thybulle,Mar 4 1997,Scottsdale,Arizona
Paul Watson,Dec 30 1994,Phoenix,Arizona
Mike Conley,Oct 11 1987,Fayetteville,Arkansas
Daniel Gafford,Oct 1 1998,El Dorado,Arkansas
Dusty Hannahs,Sep 2 1993,Little Rock,Arkansas
Daryl Macon,Nov 29 1995,Little Rock,Arkansas
Malik Monk,Feb 4 1998,Jonesboro,Arkansas
Bobby Portis,Feb 10 1995,Little Rock,Arkansas
Ryan Anderson,May 6 1988,Sacramento,California
Lonzo Ball,Oct 27 1997,Anaheim,California
Jordan Bell,Jan 7 1995,Los Angeles,California
Tyson Chandler,Oct 2 1982,Hanford,California
Marquese Chriss,Jul 2 1997,Sacramento,California
Allen Crabbe,Apr 9 1992,Los Angeles,California
Dewayne Dedmon,Aug 12 1989,Lancaster,California
DeMar DeRozan,Aug 7 1989,Compton,California
Spencer Dinwiddie,Apr 6 1993,Los Angeles,California
Jared Dudley,Jul 10 1985,San Diego,California
James Ennis,Jul 1 1990,Ventura,California
Paul George,May 2 1990,Palmdale,California
Aaron Gordon,Sep 16 1995,San Jose,California
Tim Hardaway,Mar 16 1992,Orinda,California
James Harden,Aug 26 1989,Los Angeles,California
Solomon Hill,Mar 18 1991,Los Angeles,California
Jrue Holiday,Jun 12 1990,Chatsworth,California
Justin Holiday,Apr 5 1989,Mission Hills,California
Chandler Hutchison,Apr 26 1996,Mission Viejo,California
Josh Jackson,Feb 10 1997,San Diego,California
Stanley Johnson,May 29 1996,Los Angeles,California
Kyle Korver,Mar 17 1981,Lakewood,California
Kawhi Leonard,Jun 29 1991,Los Angeles,California
Damian Lillard,Jul 15 1990,Oakland,California
Brook Lopez,Apr 1 1988,North Hollywood,California
Robin Lopez,Apr 1 1988,North Hollywood,California
Kevin Love,Sep 7 1988,Santa Monica,California
Jordan McLaughlin,Apr 9 1996,Etiwanda,California
De'Anthony Melton,May 28 1998,North Hollywood,California
Chimezie Metu,Mar 22 1997,Los Angeles,California
David Nwaba,Jan 14 1993,Los Angeles,California
KZ Okpala,Apr 28 1999,Orange County,California
Miye Oni,Aug 4 1997,Los Angeles,California
Norman Powell,May 25 1993,San Diego,California
Austin Rivers,Aug 1 1992,Santa Monica,California
Tony Snell,Nov 10 1991,Los Angeles,California
Juan Toscano-Anderson,Apr 10 1993,Oakland,California
Gabe Vincent,Jun 14 1996,Modesto,California
Tyrone Wallace,Jun 10 1994,Bakersfield,California
Russell Westbrook,Nov 12 1988,Long Beach,California
D.J. Wilson,Feb 19 1996,Mount Shasta,California
Christian Wood,Sep 27 1995,Long Beach,California
Delon Wright,Apr 26 1992,Los Angeles,California
Derrick White,Jul 2 1994,Parker,Colorado
Kris Dunn,Mar 18 1994,New London,Connecticut
Tremont Waters,Jan 10 1998,New Haven,Connecticut
Donte DiVincenzo,Jan 31 1997,Newark,Delaware
Quinn Cook,Mar 23 1993,Washington,District of Columbia
Ed Davis,Jun 5 1989,Washington,District of Columbia
Frank Jackson,May 4 1998,Washington,District of Columbia
Patrick Patterson,Mar 14 1989,Washington,District of Columbia
Grayson Allen,Oct 8 1995,Jacksonville,Florida
Trevor Ariza,Jun 30 1985,Miami,Florida
Dwayne Bacon,Aug 30 1995,Lakeland,Florida
Tony Bradley,Jan 8 1998,Bartow,Florida
Vince Carter,Jan 26 1977,Daytona Beach,Florida
Joe Chealey,Nov 1 1995,Orlando,Florida
Jordan Clarkson,Jun 7 1992,Tampa,Florida
Udonis Haslem,Jun 9 1980,Miami,Florida
Dewan Hernandez,Dec 9 1996,Miami,Florida
Justin James,Jan 24 1997,Port St. Lucie,Florida
Brandon Knight,Dec 2 1991,Miami,Florida
Nassir Little,Feb 11 2000,Pensacola,Florida
Chandler Parsons,Oct 25 1988,Casselberry,Florida
Mitchell Robinson,Apr 1 1998,Pensacola,Florida
Anfernee Simons,Jun 8 1999,Longwood,Florida
Al-Farouq Aminu,Sep 21 1990,Atlanta,Georgia
Malik Beasley,Nov 26 1996,Atlanta,Georgia
Malcolm Brogdon,Dec 11 1992,Atlanta,Georgia
Jaylen Brown,Oct 24 1996,Marietta,Georgia
Kentavious Caldwell-Pope,Feb 18 1993,Thomaston,Georgia
Wendell Carter,Apr 16 1999,Atlanta,Georgia
Jae Crowder,Jul 6 1990,Villa Rica,Georgia
Derrick Favors,Jul 15 1991,Atlanta,Georgia
Brandon Goodwin,Oct 2 1995,Norcross,Georgia
Jared Harper,Sep 14 1997,Atlanta,Georgia
Dwight Howard,Dec 8 1985,Atlanta,Georgia
Jordan McRae,Mar 28 1991,Savannah,Georgia
Justin Patton,Jun 14 1997,Omaha,Georgia
Collin Sexton,Jan 4 1999,Marietta,Georgia
Keita Bates-Diop,Jan 23 1996,Bloomington,Illinois
Patrick Beverley,Jul 12 1988,Chicago,Illinois
Sterling Brown,Feb 10 1995,Maywood,Illinois
Jevon Carter,Sep 14 1995,Maywood,Illinois
Robert Covington,Dec 14 1990,Bellwood,Illinois
Anthony Davis,Mar 11 1993,Chicago,Illinois
Richaun Holmes,Oct 15 1993,Lockport,Illinois
Talen Horton-Tucker,Nov 25 2000,Chicago,Illinois
Andre Iguodala,Jan 28 1984,Springfield,Illinois
Frank Kaminsky,Apr 4 1993,Lisle,Illinois
John Konchar,Mar 22 1996,Chicago,Illinois
Vic Law,Dec 19 1995,South Holland,Illinois
Meyers Leonard,Feb 27 1992,Robinson,Illinois
Alfonzo McKinnie,Sep 17 1992,Chicago,Illinois
Matt Mooney,Feb 7 1997,Chicago,Illinois
Zach Norvell,Dec 9 1997,Chicago,Illinois
Kendrick Nunn,Aug 3 1995,Chicago,Illinois
Jahlil Okafor,Dec 15 1995,Chicago,Illinois
Jeremy Pargo,Mar 17 1986,Chicago,Illinois
Jabari Parker,Mar 15 1995,Chicago,Illinois
Chasson Randle,Feb 5 1993,Rock Island,Illinois
Isaiah Roby,Feb 3 1998,Dixon,Illinois
Derrick Rose,Oct 4 1988,Chicago,Illinois
Iman Shumpert,Jun 26 1990,Oak Park,Illinois
Max Strus,Mar 28 1996,Hickory Hills,Illinois
Matt Thomas,Aug 4 1994,Decatur,Illinois
Evan Turner,Oct 27 1988,Chicago,Illinois
Fred VanVleet,Feb 25 1994,Rockford,Illinois
Yogi Ferrell,May 9 1993,Indianapolis,Indiana
Darius Garland,Jan 26 2000,Gary,Indiana
Eric Gordon,Dec 25 1988,Indianapolis,Indiana
Kyle Guy,Aug 11 1997,Indianapolis,Indiana
Gary Harris,Sep 14 1994,Fishers,Indiana
